sample_name,source_name,Strain,sex,age
DGRP_Line_321_Male_SAMN09738651,DGRP Line 321 Male,DGRP_321,male,3-5 days old
DGRP_Line_332_Male_SAMN09738443,DGRP Line 332 Male,DGRP_332,male,3-5 days old
DGRP_Line_336_Female_SAMN09738241,DGRP Line 336 Female,DGRP_336,female,3-5 days old
DGRP_Line_338_Male_SAMN09738305,DGRP Line 338 Male,DGRP_338,male,3-5 days old
DGRP_Line_348_Female_SAMN09738298,DGRP Line 348 Female,DGRP_348,female,3-5 days old
DGRP_Line_348_Male_SAMN09738297,DGRP Line 348 Male,DGRP_348,male,3-5 days old
DGRP_Line_350_Female_SAMN09738294,DGRP Line 350 Female,DGRP_350,female,3-5 days old
DGRP_Line_350_Male_SAMN09738292,DGRP Line 350 Male,DGRP_350,male,3-5 days old
DGRP_Line_352_Female_SAMN09738290,DGRP Line 352 Female,DGRP_352,female,3-5 days old
DGRP_Line_352_Male_SAMN09738289,DGRP Line 352 Male,DGRP_352,male,3-5 days old
DGRP_Line_354_Female_SAMN09738287,DGRP Line 354 Female,DGRP_354,female,3-5 days old
DGRP_Line_356_Female_SAMN09738286,DGRP Line 356 Female,DGRP_356,female,3-5 days old
DGRP_Line_357_Female_SAMN09738325,DGRP Line 357 Female,DGRP_357,female,3-5 days old
DGRP_Line_357_Male_SAMN09738323,DGRP Line 357 Male,DGRP_357,male,3-5 days old
DGRP_Line_358_Female_SAMN09738322,DGRP Line 358 Female,DGRP_358,female,3-5 days old
DGRP_Line_358_Male_SAMN09738320,DGRP Line 358 Male,DGRP_358,male,3-5 days old
DGRP_Line_358_Male_SAMN09738319,DGRP Line 358 Male,DGRP_358,male,3-5 days old
DGRP_Line_359_Female_SAMN09738318,DGRP Line 359 Female,DGRP_359,female,3-5 days old
DGRP_Line_359_Female_SAMN09738317,DGRP Line 359 Female,DGRP_359,female,3-5 days old
DGRP_Line_360_Male_SAMN09738312,DGRP Line 360 Male,DGRP_360,male,3-5 days old
DGRP_Line_361_Female_SAMN09738309,DGRP Line 361 Female,DGRP_361,female,3-5 days old
DGRP_Line_361_Male_SAMN09738360,DGRP Line 361 Male,DGRP_361,male,3-5 days old
DGRP_Line_362_Female_SAMN09738220,DGRP Line 362 Female,DGRP_362,female,3-5 days old
DGRP_Line_365_Female_SAMN09738217,DGRP Line 365 Female,DGRP_365,female,3-5 days old
DGRP_Line_365_Female_SAMN09738282,DGRP Line 365 Female,DGRP_365,female,3-5 days old
DGRP_Line_367_Female_SAMN09738278,DGRP Line 367 Female,DGRP_367,female,3-5 days old
DGRP_Line_367_Male_SAMN09738275,DGRP Line 367 Male,DGRP_367,male,3-5 days old
DGRP_Line_370_Female_SAMN09738274,DGRP Line 370 Female,DGRP_370,female,3-5 days old
DGRP_Line_370_Female_SAMN09738273,DGRP Line 370 Female,DGRP_370,female,3-5 days old
DGRP_Line_370_Male_SAMN09738272,DGRP Line 370 Male,DGRP_370,male,3-5 days old
DGRP_Line_375_Female_SAMN09738249,DGRP Line 375 Female,DGRP_375,female,3-5 days old
DGRP_Line_377_Male_SAMN09738151,DGRP Line 377 Male,DGRP_377,male,3-5 days old
DGRP_Line_379_Female_SAMN09738149,DGRP Line 379 Female,DGRP_379,female,3-5 days old
DGRP_Line_38_Female_SAMN09738145,DGRP Line 38 Female,DGRP_38,female,3-5 days old
DGRP_Line_380_Male_SAMN09738140,DGRP Line 380 Male,DGRP_380,male,3-5 days old
DGRP_Line_380_Male_SAMN09738216,DGRP Line 380 Male,DGRP_380,male,3-5 days old
DGRP_Line_381_Female_SAMN09738214,DGRP Line 381 Female,DGRP_381,female,3-5 days old
DGRP_Line_381_Male_SAMN09738212,DGRP Line 381 Male,DGRP_381,male,3-5 days old
DGRP_Line_382_Male_SAMN09738209,DGRP Line 382 Male,DGRP_382,male,3-5 days old
DGRP_Line_385_Female_SAMN09738202,DGRP Line 385 Female,DGRP_385,female,3-5 days old
DGRP_Line_386_Male_SAMN09738201,DGRP Line 386 Male,DGRP_386,male,3-5 days old
DGRP_Line_386_Male_SAMN09738200,DGRP Line 386 Male,DGRP_386,male,3-5 days old
DGRP_Line_390_Female_SAMN09738198,DGRP Line 390 Female,DGRP_390,female,3-5 days old
DGRP_Line_390_Male_SAMN09738193,DGRP Line 390 Male,DGRP_390,male,3-5 days old
DGRP_Line_391_Male_SAMN09738238,DGRP Line 391 Male,DGRP_391,male,3-5 days old
DGRP_Line_391_Male_SAMN09738237,DGRP Line 391 Male,DGRP_391,male,3-5 days old
DGRP_Line_392_Female_SAMN09738236,DGRP Line 392 Female,DGRP_392,female,3-5 days old
DGRP_Line_392_Male_SAMN09738233,DGRP Line 392 Male,DGRP_392,male,3-5 days old
DGRP_Line_395_Female_SAMN09738231,DGRP Line 395 Female,DGRP_395,female,3-5 days old
DGRP_Line_397_Female_SAMN09738227,DGRP Line 397 Female,DGRP_397,female,3-5 days old
DGRP_Line_399_Female_SAMN09738224,DGRP Line 399 Female,DGRP_399,female,3-5 days old
DGRP_Line_399_Female_SAMN09738222,DGRP Line 399 Female,DGRP_399,female,3-5 days old
DGRP_Line_40_Male_SAMN09738138,DGRP Line 40 Male,DGRP_40,male,3-5 days old
DGRP_Line_405_Female_SAMN09738135,DGRP Line 405 Female,DGRP_405,female,3-5 days old
DGRP_Line_406_Female_SAMN09738132,DGRP Line 406 Female,DGRP_406,female,3-5 days old
DGRP_Line_406_Male_SAMN09738130,DGRP Line 406 Male,DGRP_406,male,3-5 days old
DGRP_Line_409_Female_SAMN09738128,DGRP Line 409 Female,DGRP_409,female,3-5 days old
DGRP_Line_409_Male_SAMN09738125,DGRP Line 409 Male,DGRP_409,male,3-5 days old
DGRP_Line_41_Female_SAMN09738124,DGRP Line 41 Female,DGRP_41,female,3-5 days old
DGRP_Line_41_Male_SAMN09738122,DGRP Line 41 Male,DGRP_41,male,3-5 days old
DGRP_Line_42_Male_SAMN09738190,DGRP Line 42 Male,DGRP_42,male,3-5 days old
DGRP_Line_426_Female_SAMN09738189,DGRP Line 426 Female,DGRP_426,female,3-5 days old
DGRP_Line_427_Female_SAMN09738749,DGRP Line 427 Female,DGRP_427,female,3-5 days old
DGRP_Line_427_Male_SAMN09738747,DGRP Line 427 Male,DGRP_427,male,3-5 days old
DGRP_Line_437_Female_SAMN09738745,DGRP Line 437 Female,DGRP_437,female,3-5 days old
DGRP_Line_439_Female_SAMN09738742,DGRP Line 439 Female,DGRP_439,female,3-5 days old
DGRP_Line_439_Male_SAMN09738739,DGRP Line 439 Male,DGRP_439,male,3-5 days old
DGRP_Line_440_Male_SAMN09738735,DGRP Line 440 Male,DGRP_440,male,3-5 days old
DGRP_Line_441_Female_SAMN09738734,DGRP Line 441 Female,DGRP_441,female,3-5 days old
DGRP_Line_441_Female_SAMN09738733,DGRP Line 441 Female,DGRP_441,female,3-5 days old
DGRP_Line_443_Female_SAMN09738766,DGRP Line 443 Female,DGRP_443,female,3-5 days old
DGRP_Line_443_Female_SAMN09738765,DGRP Line 443 Female,DGRP_443,female,3-5 days old
DGRP_Line_443_Male_SAMN09738763,DGRP Line 443 Male,DGRP_443,male,3-5 days old
DGRP_Line_45_Female_SAMN09738761,DGRP Line 45 Female,DGRP_45,female,3-5 days old
DGRP_Line_45_Male_SAMN09738759,DGRP Line 45 Male,DGRP_45,male,3-5 days old
DGRP_Line_48_Female_SAMN09738116,DGRP Line 48 Female,DGRP_48,female,3-5 days old
DGRP_Line_486_Female_SAMN09738756,DGRP Line 486 Female,DGRP_486,female,3-5 days old
DGRP_Line_486_Male_SAMN09738111,DGRP Line 486 Male,DGRP_486,male,3-5 days old
DGRP_Line_49_Female_SAMN09738108,DGRP Line 49 Female,DGRP_49,female,3-5 days old
DGRP_Line_491_Female_SAMN09738105,DGRP Line 491 Female,DGRP_491,female,3-5 days old
DGRP_Line_491_Male_SAMN09738103,DGRP Line 491 Male,DGRP_491,male,3-5 days old
DGRP_Line_491_Male_SAMN09738102,DGRP Line 491 Male,DGRP_491,male,3-5 days old
DGRP_Line_492_Female_SAMN09738100,DGRP Line 492 Female,DGRP_492,female,3-5 days old
DGRP_Line_492_Male_SAMN09738099,DGRP Line 492 Male,DGRP_492,male,3-5 days old
DGRP_Line_492_Male_SAMN09738098,DGRP Line 492 Male,DGRP_492,male,3-5 days old
DGRP_Line_502_Female_SAMN09738807,DGRP Line 502 Female,DGRP_502,female,3-5 days old
DGRP_Line_502_Female_SAMN09738806,DGRP Line 502 Female,DGRP_502,female,3-5 days old
