sample_name,source_name,Strain,sex,age
DGRP_Line_892_Female_SAMN09739099,DGRP Line 892 Female,DGRP_892,female,3-5 days old
DGRP_Line_892_Male_SAMN09739098,DGRP Line 892 Male,DGRP_892,male,3-5 days old
DGRP_Line_892_Male_SAMN09739160,DGRP Line 892 Male,DGRP_892,male,3-5 days old
DGRP_Line_894_Female_SAMN09739159,DGRP Line 894 Female,DGRP_894,female,3-5 days old
DGRP_Line_894_Male_SAMN09739157,DGRP Line 894 Male,DGRP_894,male,3-5 days old
DGRP_Line_897_Female_SAMN09739154,DGRP Line 897 Female,DGRP_897,female,3-5 days old
DGRP_Line_897_Male_SAMN09739153,DGRP Line 897 Male,DGRP_897,male,3-5 days old
DGRP_Line_897_Male_SAMN09739152,DGRP Line 897 Male,DGRP_897,male,3-5 days old
DGRP_Line_900_Female_SAMN09739150,DGRP Line 900 Female,DGRP_900,female,3-5 days old
DGRP_Line_907_Female_SAMN09739147,DGRP Line 907 Female,DGRP_907,female,3-5 days old
DGRP_Line_907_Female_SAMN09739146,DGRP Line 907 Female,DGRP_907,female,3-5 days old
DGRP_Line_907_Male_SAMN09739144,DGRP Line 907 Male,DGRP_907,male,3-5 days old
DGRP_Line_908_Male_SAMN09739141,DGRP Line 908 Male,DGRP_908,male,3-5 days old
DGRP_Line_908_Male_SAMN09739140,DGRP Line 908 Male,DGRP_908,male,3-5 days old
DGRP_Line_91_Female_SAMN09739139,DGRP Line 91 Female,DGRP_91,female,3-5 days old
DGRP_Line_91_Female_SAMN09739138,DGRP Line 91 Female,DGRP_91,female,3-5 days old
DGRP_Line_91_Male_SAMN09739137,DGRP Line 91 Male,DGRP_91,male,3-5 days old
DGRP_Line_911_Male_SAMN09739133,DGRP Line 911 Male,DGRP_911,male,3-5 days old
DGRP_Line_913_Female_SAMN09739131,DGRP Line 913 Female,DGRP_913,female,3-5 days old
DGRP_Line_93_Female_SAMN09739164,DGRP Line 93 Female,DGRP_93,female,3-5 days old
DGRP_Line_101_Female_SAMN09738656,DGRP Line 101 Female,DGRP_101,female,3-5 days old
DGRP_Line_105_Female_SAMN09738703,DGRP Line 105 Female,DGRP_105,female,3-5 days old
DGRP_Line_105_Male_SAMN09738701,DGRP Line 105 Male,DGRP_105,male,3-5 days old
DGRP_Line_129_Female_SAMN09738694,DGRP Line 129 Female,DGRP_129,female,3-5 days old
DGRP_Line_129_Male_SAMN09738693,DGRP Line 129 Male,DGRP_129,male,3-5 days old
DGRP_Line_136_Female_SAMN09738690,DGRP Line 136 Female,DGRP_136,female,3-5 days old
DGRP_Line_136_Male_SAMN09738688,DGRP Line 136 Male,DGRP_136,male,3-5 days old
DGRP_Line_138_Female_SAMN09738686,DGRP Line 138 Female,DGRP_138,female,3-5 days old
DGRP_Line_138_Male_SAMN09738685,DGRP Line 138 Male,DGRP_138,male,3-5 days old
DGRP_Line_142_Female_SAMN09738730,DGRP Line 142 Female,DGRP_142,female,3-5 days old
DGRP_Line_142_Male_SAMN09738727,DGRP Line 142 Male,DGRP_142,male,3-5 days old
DGRP_Line_149_Female_SAMN09738726,DGRP Line 149 Female,DGRP_149,female,3-5 days old
DGRP_Line_153_Male_SAMN09738719,DGRP Line 153 Male,DGRP_153,male,3-5 days old
DGRP_Line_161_Female_SAMN09738714,DGRP Line 161 Female,DGRP_161,female,3-5 days old
DGRP_Line_161_Female_SAMN09738713,DGRP Line 161 Female,DGRP_161,female,3-5 days old
DGRP_Line_161_Male_SAMN09738712,DGRP Line 161 Male,DGRP_161,male,3-5 days old
DGRP_Line_161_Male_SAMN09738711,DGRP Line 161 Male,DGRP_161,male,3-5 days old
DGRP_Line_176_Female_SAMN09738710,DGRP Line 176 Female,DGRP_176,female,3-5 days old
DGRP_Line_176_Male_SAMN09738707,DGRP Line 176 Male,DGRP_176,male,3-5 days old
DGRP_Line_177_Female_SAMN09738706,DGRP Line 177 Female,DGRP_177,female,3-5 days old
DGRP_Line_177_Female_SAMN09738755,DGRP Line 177 Female,DGRP_177,female,3-5 days old
DGRP_Line_177_Male_SAMN09738754,DGRP Line 177 Male,DGRP_177,male,3-5 days old
DGRP_Line_181_Female_SAMN09738751,DGRP Line 181 Female,DGRP_181,female,3-5 days old
DGRP_Line_181_Male_SAMN09738750,DGRP Line 181 Male,DGRP_181,male,3-5 days old
DGRP_Line_189_Male_SAMN09738438,DGRP Line 189 Male,DGRP_189,male,3-5 days old
DGRP_Line_195_Male_SAMN09738683,DGRP Line 195 Male,DGRP_195,male,3-5 days old
DGRP_Line_21_Female_SAMN09738677,DGRP Line 21 Female,DGRP_21,female,3-5 days old
DGRP_Line_21_Male_SAMN09738675,DGRP Line 21 Male,DGRP_21,male,3-5 days old
DGRP_Line_21_Male_SAMN09738674,DGRP Line 21 Male,DGRP_21,male,3-5 days old
DGRP_Line_217_Female_SAMN09738673,DGRP Line 217 Female,DGRP_217,female,3-5 days old
DGRP_Line_217_Female_SAMN09738672,DGRP Line 217 Female,DGRP_217,female,3-5 days old
DGRP_Line_217_Male_SAMN09738670,DGRP Line 217 Male,DGRP_217,male,3-5 days old
DGRP_Line_223_Male_SAMN09738667,DGRP Line 223 Male,DGRP_223,male,3-5 days old
DGRP_Line_227_Female_SAMN09738665,DGRP Line 227 Female,DGRP_227,female,3-5 days old
DGRP_Line_227_Male_SAMN09738663,DGRP Line 227 Male,DGRP_227,male,3-5 days old
DGRP_Line_227_Male_SAMN09738662,DGRP Line 227 Male,DGRP_227,male,3-5 days old
DGRP_Line_228_Female_SAMN09738395,DGRP Line 228 Female,DGRP_228,female,3-5 days old
DGRP_Line_229_Female_SAMN09738392,DGRP Line 229 Female,DGRP_229,female,3-5 days old
DGRP_Line_229_Female_SAMN09738391,DGRP Line 229 Female,DGRP_229,female,3-5 days old
DGRP_Line_229_Male_SAMN09738390,DGRP Line 229 Male,DGRP_229,male,3-5 days old
DGRP_Line_233_Female_SAMN09738387,DGRP Line 233 Female,DGRP_233,female,3-5 days old
DGRP_Line_233_Male_SAMN09738386,DGRP Line 233 Male,DGRP_233,male,3-5 days old
DGRP_Line_235_Female_SAMN09738384,DGRP Line 235 Female,DGRP_235,female,3-5 days old
DGRP_Line_235_Male_SAMN09738382,DGRP Line 235 Male,DGRP_235,male,3-5 days old
DGRP_Line_235_Male_SAMN09738434,DGRP Line 235 Male,DGRP_235,male,3-5 days old
DGRP_Line_237_Female_SAMN09738433,DGRP Line 237 Female,DGRP_237,female,3-5 days old
DGRP_Line_237_Male_SAMN09738431,DGRP Line 237 Male,DGRP_237,male,3-5 days old
DGRP_Line_239_Female_SAMN09738428,DGRP Line 239 Female,DGRP_239,female,3-5 days old
DGRP_Line_239_Male_SAMN09738427,DGRP Line 239 Male,DGRP_239,male,3-5 days old
DGRP_Line_239_Male_SAMN09738426,DGRP Line 239 Male,DGRP_239,male,3-5 days old
DGRP_Line_256_Female_SAMN09738424,DGRP Line 256 Female,DGRP_256,female,3-5 days old
DGRP_Line_256_Male_SAMN09738423,DGRP Line 256 Male,DGRP_256,male,3-5 days old
DGRP_Line_26_Female_SAMN09738420,DGRP Line 26 Female,DGRP_26,female,3-5 days old
DGRP_Line_26_Male_SAMN09738358,DGRP Line 26 Male,DGRP_26,male,3-5 days old
DGRP_Line_28_Female_SAMN09738356,DGRP Line 28 Female,DGRP_28,female,3-5 days old
DGRP_Line_280_Female_SAMN09738353,DGRP Line 280 Female,DGRP_280,female,3-5 days old
DGRP_Line_301_Female_SAMN09738345,DGRP Line 301 Female,DGRP_301,female,3-5 days old
DGRP_Line_301_Female_SAMN09738344,DGRP Line 301 Female,DGRP_301,female,3-5 days old
DGRP_Line_301_Male_SAMN09738343,DGRP Line 301 Male,DGRP_301,male,3-5 days old
DGRP_Line_304_Female_SAMN09738336,DGRP Line 304 Female,DGRP_304,female,3-5 days old
DGRP_Line_306_Female_SAMN09738381,DGRP Line 306 Female,DGRP_306,female,3-5 days old
DGRP_Line_306_Female_SAMN09738380,DGRP Line 306 Female,DGRP_306,female,3-5 days old
DGRP_Line_306_Male_SAMN09738379,DGRP Line 306 Male,DGRP_306,male,3-5 days old
DGRP_Line_309_Male_SAMN09738375,DGRP Line 309 Male,DGRP_309,male,3-5 days old
DGRP_Line_309_Male_SAMN09738374,DGRP Line 309 Male,DGRP_309,male,3-5 days old
DGRP_Line_31_Female_SAMN09738372,DGRP Line 31 Female,DGRP_31,female,3-5 days old
DGRP_Line_313_Female_SAMN09738365,DGRP Line 313 Female,DGRP_313,female,3-5 days old
DGRP_Line_313_Female_SAMN09738364,DGRP Line 313 Female,DGRP_313,female,3-5 days old
DGRP_Line_319_Female_SAMN09738397,DGRP Line 319 Female,DGRP_319,female,3-5 days old
DGRP_Line_319_Male_SAMN09738396,DGRP Line 319 Male,DGRP_319,male,3-5 days old
DGRP_Line_32_Female_SAMN09738416,DGRP Line 32 Female,DGRP_32,female,3-5 days old
DGRP_Line_32_Male_SAMN09738415,DGRP Line 32 Male,DGRP_32,male,3-5 days old
DGRP_Line_32_Male_SAMN09738414,DGRP Line 32 Male,DGRP_32,male,3-5 days old
DGRP_Line_324_Female_SAMN09738650,DGRP Line 324 Female,DGRP_324,female,3-5 days old
DGRP_Line_324_Female_SAMN09738649,DGRP Line 324 Female,DGRP_324,female,3-5 days old
DGRP_Line_324_Male_SAMN09738648,DGRP Line 324 Male,DGRP_324,male,3-5 days old
DGRP_Line_324_Male_SAMN09738647,DGRP Line 324 Male,DGRP_324,male,3-5 days old
DGRP_Line_325_Female_SAMN09738646,DGRP Line 325 Female,DGRP_325,female,3-5 days old
DGRP_Line_332_Female_SAMN09738446,DGRP Line 332 Female,DGRP_332,female,3-5 days old
DGRP_Line_332_Male_SAMN09738444,DGRP Line 332 Male,DGRP_332,male,3-5 days old
DGRP_Line_335_Female_SAMN09738247,DGRP Line 335 Female,DGRP_335,female,3-5 days old
DGRP_Line_335_Male_SAMN09738243,DGRP Line 335 Male,DGRP_335,male,3-5 days old
DGRP_Line_335_Male_SAMN09738242,DGRP Line 335 Male,DGRP_335,male,3-5 days old
DGRP_Line_336_Male_SAMN09738245,DGRP Line 336 Male,DGRP_336,male,3-5 days old
DGRP_Line_338_Female_SAMN09738244,DGRP Line 338 Female,DGRP_338,female,3-5 days old
DGRP_Line_340_Female_SAMN09738302,DGRP Line 340 Female,DGRP_340,female,3-5 days old
DGRP_Line_340_Male_SAMN09738301,DGRP Line 340 Male,DGRP_340,male,3-5 days old
DGRP_Line_348_Female_SAMN09738299,DGRP Line 348 Female,DGRP_348,female,3-5 days old
DGRP_Line_350_Male_SAMN09738293,DGRP Line 350 Male,DGRP_350,male,3-5 days old
DGRP_Line_352_Male_SAMN09738288,DGRP Line 352 Male,DGRP_352,male,3-5 days old
DGRP_Line_354_Female_SAMN09738285,DGRP Line 354 Female,DGRP_354,female,3-5 days old
DGRP_Line_355_Female_SAMN09738333,DGRP Line 355 Female,DGRP_355,female,3-5 days old
DGRP_Line_355_Female_SAMN09738332,DGRP Line 355 Female,DGRP_355,female,3-5 days old
DGRP_Line_356_Female_SAMN09738329,DGRP Line 356 Female,DGRP_356,female,3-5 days old
DGRP_Line_356_Male_SAMN09738328,DGRP Line 356 Male,DGRP_356,male,3-5 days old
DGRP_Line_356_Male_SAMN09738327,DGRP Line 356 Male,DGRP_356,male,3-5 days old
DGRP_Line_357_Female_SAMN09738326,DGRP Line 357 Female,DGRP_357,female,3-5 days old
DGRP_Line_357_Male_SAMN09738324,DGRP Line 357 Male,DGRP_357,male,3-5 days old
DGRP_Line_358_Female_SAMN09738321,DGRP Line 358 Female,DGRP_358,female,3-5 days old
DGRP_Line_361_Female_SAMN09738310,DGRP Line 361 Female,DGRP_361,female,3-5 days old
DGRP_Line_361_Male_SAMN09738308,DGRP Line 361 Male,DGRP_361,male,3-5 days old
DGRP_Line_362_Female_SAMN09738359,DGRP Line 362 Female,DGRP_362,female,3-5 days old
DGRP_Line_362_Male_SAMN09738218,DGRP Line 362 Male,DGRP_362,male,3-5 days old
DGRP_Line_367_Female_SAMN09738279,DGRP Line 367 Female,DGRP_367,female,3-5 days old
DGRP_Line_367_Male_SAMN09738276,DGRP Line 367 Male,DGRP_367,male,3-5 days old
DGRP_Line_371_Male_SAMN09738266,DGRP Line 371 Male,DGRP_371,male,3-5 days old
DGRP_Line_371_Male_SAMN09738265,DGRP Line 371 Male,DGRP_371,male,3-5 days old
DGRP_Line_373_Female_SAMN09738263,DGRP Line 373 Female,DGRP_373,female,3-5 days old
DGRP_Line_373_Male_SAMN09738260,DGRP Line 373 Male,DGRP_373,male,3-5 days old
DGRP_Line_373_Male_SAMN09738259,DGRP Line 373 Male,DGRP_373,male,3-5 days old
DGRP_Line_374_Male_SAMN09738252,DGRP Line 374 Male,DGRP_374,male,3-5 days old
DGRP_Line_375_Female_SAMN09738250,DGRP Line 375 Female,DGRP_375,female,3-5 days old
DGRP_Line_375_Male_SAMN09738248,DGRP Line 375 Male,DGRP_375,male,3-5 days old
DGRP_Line_375_Male_SAMN09738184,DGRP Line 375 Male,DGRP_375,male,3-5 days old
DGRP_Line_377_Female_SAMN09738183,DGRP Line 377 Female,DGRP_377,female,3-5 days old
DGRP_Line_379_Male_SAMN09738148,DGRP Line 379 Male,DGRP_379,male,3-5 days old
DGRP_Line_38_Male_SAMN09738144,DGRP Line 38 Male,DGRP_38,male,3-5 days old
DGRP_Line_380_Female_SAMN09738141,DGRP Line 380 Female,DGRP_380,female,3-5 days old
DGRP_Line_382_Female_SAMN09738211,DGRP Line 382 Female,DGRP_382,female,3-5 days old
DGRP_Line_382_Female_SAMN09738210,DGRP Line 382 Female,DGRP_382,female,3-5 days old
DGRP_Line_383_Female_SAMN09738207,DGRP Line 383 Female,DGRP_383,female,3-5 days old
DGRP_Line_383_Female_SAMN09738206,DGRP Line 383 Female,DGRP_383,female,3-5 days old
DGRP_Line_383_Male_SAMN09738205,DGRP Line 383 Male,DGRP_383,male,3-5 days old
DGRP_Line_383_Male_SAMN09738204,DGRP Line 383 Male,DGRP_383,male,3-5 days old
DGRP_Line_385_Female_SAMN09738203,DGRP Line 385 Female,DGRP_385,female,3-5 days old
DGRP_Line_385_Male_SAMN09738197,DGRP Line 385 Male,DGRP_385,male,3-5 days old
DGRP_Line_390_Male_SAMN09738192,DGRP Line 390 Male,DGRP_390,male,3-5 days old
DGRP_Line_391_Female_SAMN09738240,DGRP Line 391 Female,DGRP_391,female,3-5 days old
DGRP_Line_392_Male_SAMN09738234,DGRP Line 392 Male,DGRP_392,male,3-5 days old
DGRP_Line_395_Female_SAMN09738232,DGRP Line 395 Female,DGRP_395,female,3-5 days old
DGRP_Line_395_Male_SAMN09738230,DGRP Line 395 Male,DGRP_395,male,3-5 days old
DGRP_Line_395_Male_SAMN09738229,DGRP Line 395 Male,DGRP_395,male,3-5 days old
DGRP_Line_397_Male_SAMN09738226,DGRP Line 397 Male,DGRP_397,male,3-5 days old
DGRP_Line_397_Male_SAMN09738225,DGRP Line 397 Male,DGRP_397,male,3-5 days old
DGRP_Line_40_Male_SAMN09738137,DGRP Line 40 Male,DGRP_40,male,3-5 days old
DGRP_Line_405_Male_SAMN09738133,DGRP Line 405 Male,DGRP_405,male,3-5 days old
DGRP_Line_409_Male_SAMN09738126,DGRP Line 409 Male,DGRP_409,male,3-5 days old
DGRP_Line_41_Female_SAMN09738123,DGRP Line 41 Female,DGRP_41,female,3-5 days old
DGRP_Line_42_Female_SAMN09738120,DGRP Line 42 Female,DGRP_42,female,3-5 days old
DGRP_Line_42_Male_SAMN09738191,DGRP Line 42 Male,DGRP_42,male,3-5 days old
DGRP_Line_426_Female_SAMN09738188,DGRP Line 426 Female,DGRP_426,female,3-5 days old
DGRP_Line_426_Male_SAMN09738187,DGRP Line 426 Male,DGRP_426,male,3-5 days old
DGRP_Line_426_Male_SAMN09738186,DGRP Line 426 Male,DGRP_426,male,3-5 days old
DGRP_Line_427_Female_SAMN09738185,DGRP Line 427 Female,DGRP_427,female,3-5 days old
DGRP_Line_437_Female_SAMN09738746,DGRP Line 437 Female,DGRP_437,female,3-5 days old
DGRP_Line_437_Male_SAMN09738743,DGRP Line 437 Male,DGRP_437,male,3-5 days old
DGRP_Line_439_Female_SAMN09738741,DGRP Line 439 Female,DGRP_439,female,3-5 days old
DGRP_Line_440_Female_SAMN09738737,DGRP Line 440 Female,DGRP_440,female,3-5 days old
DGRP_Line_440_Male_SAMN09738736,DGRP Line 440 Male,DGRP_440,male,3-5 days old
DGRP_Line_441_Male_SAMN09738731,DGRP Line 441 Male,DGRP_441,male,3-5 days old
DGRP_Line_443_Male_SAMN09738764,DGRP Line 443 Male,DGRP_443,male,3-5 days old
DGRP_Line_45_Female_SAMN09738762,DGRP Line 45 Female,DGRP_45,female,3-5 days old
DGRP_Line_45_Male_SAMN09738760,DGRP Line 45 Male,DGRP_45,male,3-5 days old
DGRP_Line_461_Female_SAMN09738758,DGRP Line 461 Female,DGRP_461,female,3-5 days old
DGRP_Line_461_Male_SAMN09738118,DGRP Line 461 Male,DGRP_461,male,3-5 days old
DGRP_Line_48_Male_SAMN09738114,DGRP Line 48 Male,DGRP_48,male,3-5 days old
DGRP_Line_48_Male_SAMN09738113,DGRP Line 48 Male,DGRP_48,male,3-5 days old
DGRP_Line_486_Female_SAMN09738112,DGRP Line 486 Female,DGRP_486,female,3-5 days old
DGRP_Line_486_Male_SAMN09738110,DGRP Line 486 Male,DGRP_486,male,3-5 days old
DGRP_Line_49_Female_SAMN09738109,DGRP Line 49 Female,DGRP_49,female,3-5 days old
DGRP_Line_49_Male_SAMN09738107,DGRP Line 49 Male,DGRP_49,male,3-5 days old
DGRP_Line_491_Female_SAMN09738104,DGRP Line 491 Female,DGRP_491,female,3-5 days old
DGRP_Line_492_Female_SAMN09738101,DGRP Line 492 Female,DGRP_492,female,3-5 days old
DGRP_Line_502_Male_SAMN09738804,DGRP Line 502 Male,DGRP_502,male,3-5 days old
DGRP_Line_508_Female_SAMN09738799,DGRP Line 508 Female,DGRP_508,female,3-5 days old
DGRP_Line_509_Male_SAMN09738793,DGRP Line 509 Male,DGRP_509,male,3-5 days old
DGRP_Line_517_Female_SAMN09738831,DGRP Line 517 Female,DGRP_517,female,3-5 days old
DGRP_Line_517_Female_SAMN09738830,DGRP Line 517 Female,DGRP_517,female,3-5 days old
DGRP_Line_517_Male_SAMN09738828,DGRP Line 517 Male,DGRP_517,male,3-5 days old
DGRP_Line_528_Male_SAMN09738825,DGRP Line 528 Male,DGRP_528,male,3-5 days old
DGRP_Line_528_Male_SAMN09738824,DGRP Line 528 Male,DGRP_528,male,3-5 days old
DGRP_Line_530_Female_SAMN09738823,DGRP Line 530 Female,DGRP_530,female,3-5 days old
DGRP_Line_530_Male_SAMN09738821,DGRP Line 530 Male,DGRP_530,male,3-5 days old
DGRP_Line_530_Male_SAMN09738820,DGRP Line 530 Male,DGRP_530,male,3-5 days old
DGRP_Line_531_Female_SAMN09738818,DGRP Line 531 Female,DGRP_531,female,3-5 days old
DGRP_Line_535_Female_SAMN09738865,DGRP Line 535 Female,DGRP_535,female,3-5 days old
DGRP_Line_535_Male_SAMN09738862,DGRP Line 535 Male,DGRP_535,male,3-5 days old
DGRP_Line_551_Female_SAMN09738860,DGRP Line 551 Female,DGRP_551,female,3-5 days old
DGRP_Line_551_Male_SAMN09738857,DGRP Line 551 Male,DGRP_551,male,3-5 days old
DGRP_Line_555_Female_SAMN09738861,DGRP Line 555 Female,DGRP_555,female,3-5 days old
DGRP_Line_555_Female_SAMN09738856,DGRP Line 555 Female,DGRP_555,female,3-5 days old
DGRP_Line_559_Female_SAMN09738853,DGRP Line 559 Female,DGRP_559,female,3-5 days old
DGRP_Line_559_Female_SAMN09738852,DGRP Line 559 Female,DGRP_559,female,3-5 days old
DGRP_Line_559_Male_SAMN09738850,DGRP Line 559 Male,DGRP_559,male,3-5 days old
DGRP_Line_563_Male_SAMN09738847,DGRP Line 563 Male,DGRP_563,male,3-5 days old
DGRP_Line_566_Female_SAMN09738845,DGRP Line 566 Female,DGRP_566,female,3-5 days old
DGRP_Line_566_Male_SAMN09738843,DGRP Line 566 Male,DGRP_566,male,3-5 days old
DGRP_Line_57_Female_SAMN09738841,DGRP Line 57 Female,DGRP_57,female,3-5 days old
DGRP_Line_584_Female_SAMN09738837,DGRP Line 584 Female,DGRP_584,female,3-5 days old
DGRP_Line_584_Male_SAMN09738913,DGRP Line 584 Male,DGRP_584,male,3-5 days old
DGRP_Line_589_Female_SAMN09738911,DGRP Line 589 Female,DGRP_589,female,3-5 days old
DGRP_Line_589_Male_SAMN09738910,DGRP Line 589 Male,DGRP_589,male,3-5 days old
DGRP_Line_589_Male_SAMN09738909,DGRP Line 589 Male,DGRP_589,male,3-5 days old
DGRP_Line_59_Male_SAMN09738906,DGRP Line 59 Male,DGRP_59,male,3-5 days old
DGRP_Line_595_Female_SAMN09738903,DGRP Line 595 Female,DGRP_595,female,3-5 days old
DGRP_Line_595_Male_SAMN09738901,DGRP Line 595 Male,DGRP_595,male,3-5 days old
DGRP_Line_627_Male_SAMN09738893,DGRP Line 627 Male,DGRP_627,male,3-5 days old
DGRP_Line_630_Female_SAMN09738943,DGRP Line 630 Female,DGRP_630,female,3-5 days old
DGRP_Line_630_Male_SAMN09738942,DGRP Line 630 Male,DGRP_630,male,3-5 days old
DGRP_Line_639_Female_SAMN09738891,DGRP Line 639 Female,DGRP_639,female,3-5 days old
DGRP_Line_639_Male_SAMN09738890,DGRP Line 639 Male,DGRP_639,male,3-5 days old
DGRP_Line_69_Female_SAMN09738884,DGRP Line 69 Female,DGRP_69,female,3-5 days old
DGRP_Line_703_Female_SAMN09738880,DGRP Line 703 Female,DGRP_703,female,3-5 days old
DGRP_Line_703_Male_SAMN09738878,DGRP Line 703 Male,DGRP_703,male,3-5 days old
DGRP_Line_712_Female_SAMN09738867,DGRP Line 712 Female,DGRP_712,female,3-5 days old
DGRP_Line_712_Male_SAMN09738866,DGRP Line 712 Male,DGRP_712,male,3-5 days old
DGRP_Line_712_Male_SAMN09738917,DGRP Line 712 Male,DGRP_712,male,3-5 days old
DGRP_Line_714_Male_SAMN09738934,DGRP Line 714 Male,DGRP_714,male,3-5 days old
DGRP_Line_721_Male_SAMN09738928,DGRP Line 721 Male,DGRP_721,male,3-5 days old
DGRP_Line_727_Female_SAMN09738927,DGRP Line 727 Female,DGRP_727,female,3-5 days old
DGRP_Line_727_Male_SAMN09738922,DGRP Line 727 Male,DGRP_727,male,3-5 days old
DGRP_Line_73_Male_SAMN09738919,DGRP Line 73 Male,DGRP_73,male,3-5 days old
DGRP_Line_73_Male_SAMN09738918,DGRP Line 73 Male,DGRP_73,male,3-5 days old
DGRP_Line_730_Female_SAMN09738970,DGRP Line 730 Female,DGRP_730,female,3-5 days old
DGRP_Line_732_Female_SAMN09738966,DGRP Line 732 Female,DGRP_732,female,3-5 days old
DGRP_Line_732_Male_SAMN09738964,DGRP Line 732 Male,DGRP_732,male,3-5 days old
DGRP_Line_737_Female_SAMN09738962,DGRP Line 737 Female,DGRP_737,female,3-5 days old
DGRP_Line_748_Female_SAMN09739051,DGRP Line 748 Female,DGRP_748,female,3-5 days old
DGRP_Line_75_Female_SAMN09739047,DGRP Line 75 Female,DGRP_75,female,3-5 days old
DGRP_Line_761_Female_SAMN09739039,DGRP Line 761 Female,DGRP_761,female,3-5 days old
DGRP_Line_765_Male_SAMN09739096,DGRP Line 765 Male,DGRP_765,male,3-5 days old
DGRP_Line_774_Female_SAMN09739094,DGRP Line 774 Female,DGRP_774,female,3-5 days old
DGRP_Line_774_Male_SAMN09739093,DGRP Line 774 Male,DGRP_774,male,3-5 days old
DGRP_Line_776_Female_SAMN09739090,DGRP Line 776 Female,DGRP_776,female,3-5 days old
DGRP_Line_783_Female_SAMN09739087,DGRP Line 783 Female,DGRP_783,female,3-5 days old
DGRP_Line_786_Male_SAMN09739081,DGRP Line 786 Male,DGRP_786,male,3-5 days old
DGRP_Line_787_Female_SAMN09739079,DGRP Line 787 Female,DGRP_787,female,3-5 days old
DGRP_Line_787_Male_SAMN09739077,DGRP Line 787 Male,DGRP_787,male,3-5 days old
DGRP_Line_790_Female_SAMN09739075,DGRP Line 790 Female,DGRP_790,female,3-5 days old
DGRP_Line_796_Female_SAMN09739071,DGRP Line 796 Female,DGRP_796,female,3-5 days old
DGRP_Line_796_Female_SAMN09739070,DGRP Line 796 Female,DGRP_796,female,3-5 days old
DGRP_Line_796_Male_SAMN09739069,DGRP Line 796 Male,DGRP_796,male,3-5 days old
DGRP_Line_799_Female_SAMN09739126,DGRP Line 799 Female,DGRP_799,female,3-5 days old
DGRP_Line_799_Male_SAMN09739124,DGRP Line 799 Male,DGRP_799,male,3-5 days old
DGRP_Line_799_Male_SAMN09739123,DGRP Line 799 Male,DGRP_799,male,3-5 days old
DGRP_Line_801_Male_SAMN09739120,DGRP Line 801 Male,DGRP_801,male,3-5 days old
DGRP_Line_805_Female_SAMN09739016,DGRP Line 805 Female,DGRP_805,female,3-5 days old
DGRP_Line_805_Male_SAMN09739008,DGRP Line 805 Male,DGRP_805,male,3-5 days old
DGRP_Line_808_Female_SAMN09739007,DGRP Line 808 Female,DGRP_808,female,3-5 days old
DGRP_Line_808_Male_SAMN09739004,DGRP Line 808 Male,DGRP_808,male,3-5 days old
DGRP_Line_810_Female_SAMN09739003,DGRP Line 810 Female,DGRP_810,female,3-5 days old
DGRP_Line_818_Female_SAMN09739061,DGRP Line 818 Female,DGRP_818,female,3-5 days old
DGRP_Line_818_Male_SAMN09739060,DGRP Line 818 Male,DGRP_818,male,3-5 days old
DGRP_Line_819_Female_SAMN09739058,DGRP Line 819 Female,DGRP_819,female,3-5 days old
DGRP_Line_819_Male_SAMN09739056,DGRP Line 819 Male,DGRP_819,male,3-5 days old
DGRP_Line_819_Male_SAMN09738957,DGRP Line 819 Male,DGRP_819,male,3-5 days old
DGRP_Line_820_Male_SAMN09738951,DGRP Line 820 Male,DGRP_820,male,3-5 days old
DGRP_Line_821_Female_SAMN09738950,DGRP Line 821 Female,DGRP_821,female,3-5 days old
DGRP_Line_822_Female_SAMN09738948,DGRP Line 822 Female,DGRP_822,female,3-5 days old
DGRP_Line_822_Male_SAMN09738945,DGRP Line 822 Male,DGRP_822,male,3-5 days old
DGRP_Line_832_Male_SAMN09738995,DGRP Line 832 Male,DGRP_832,male,3-5 days old
DGRP_Line_832_Male_SAMN09738994,DGRP Line 832 Male,DGRP_832,male,3-5 days old
DGRP_Line_837_Female_SAMN09738993,DGRP Line 837 Female,DGRP_837,female,3-5 days old
DGRP_Line_843_Female_SAMN09738989,DGRP Line 843 Female,DGRP_843,female,3-5 days old
DGRP_Line_843_Female_SAMN09738988,DGRP Line 843 Female,DGRP_843,female,3-5 days old
DGRP_Line_843_Male_SAMN09738986,DGRP Line 843 Male,DGRP_843,male,3-5 days old
DGRP_Line_85_Female_SAMN09738980,DGRP Line 85 Female,DGRP_85,female,3-5 days old
DGRP_Line_85_Male_SAMN09738979,DGRP Line 85 Male,DGRP_85,male,3-5 days old
DGRP_Line_85_Male_SAMN09738978,DGRP Line 85 Male,DGRP_85,male,3-5 days old
DGRP_Line_850_Female_SAMN09738976,DGRP Line 850 Female,DGRP_850,female,3-5 days old
DGRP_Line_850_Male_SAMN09738975,DGRP Line 850 Male,DGRP_850,male,3-5 days old
DGRP_Line_852_Female_SAMN09738973,DGRP Line 852 Female,DGRP_852,female,3-5 days old
DGRP_Line_853_Male_SAMN09739031,DGRP Line 853 Male,DGRP_853,male,3-5 days old
DGRP_Line_861_Male_SAMN09739117,DGRP Line 861 Male,DGRP_861,male,3-5 days old
DGRP_Line_882_Female_SAMN09739105,DGRP Line 882 Female,DGRP_882,female,3-5 days old
